codepoint,character,name
1FB31,🬱,BLOCK SEXTANT-356
1FB32,🬲,BLOCK SEXTANT-1356
1FB33,🬳,BLOCK SEXTANT-2356
1FB34,🬴,BLOCK SEXTANT-12356
1FB35,🬵,BLOCK SEXTANT-456
1FB36,🬶,BLOCK SEXTANT-1456
1FB37,🬷,BLOCK SEXTANT-2456
1FB38,🬸,BLOCK SEXTANT-12456
1FB39,🬹,BLOCK SEXTANT-3456
1FB3A,🬺,BLOCK SEXTANT-13456
1FB3B,🬻,BLOCK SEXTANT-23456
1FB3C,🬼,LOWER LEFT BLOCK DIAGONAL LOWER MIDDLE LEFT TO LOWER CENTRE
1FB3D,🬽,LOWER LEFT BLOCK DIAGONAL LOWER MIDDLE LEFT TO LOWER RIGHT
1FB3E,🬾,LOWER LEFT BLOCK DIAGONAL UPPER MIDDLE LEFT TO LOWER CENTRE
1FB3F,🬿,LOWER LEFT BLOCK DIAGONAL UPPER MIDDLE LEFT TO LOWER RIGHT
1FB40,🭀,LOWER LEFT BLOCK DIAGONAL UPPER LEFT TO LOWER CENTRE
1FB41,🭁,LOWER RIGHT BLOCK DIAGONAL UPPER MIDDLE LEFT TO UPPER CENTRE
1FB42,🭂,LOWER RIGHT BLOCK DIAGONAL UPPER MIDDLE LEFT TO UPPER RIGHT
1FB43,🭃,LOWER RIGHT BLOCK DIAGONAL LOWER MIDDLE LEFT TO UPPER CENTRE
1FB44,🭄,LOWER RIGHT BLOCK DIAGONAL LOWER MIDDLE LEFT TO UPPER RIGHT
1FB45,🭅,LOWER RIGHT BLOCK DIAGONAL LOWER LEFT TO UPPER CENTRE
1FB46,🭆,LOWER RIGHT BLOCK DIAGONAL LOWER MIDDLE LEFT TO UPPER MIDDLE RIGHT
1FB47,🭇,LOWER RIGHT BLOCK DIAGONAL LOWER CENTRE TO LOWER MIDDLE RIGHT
1FB48,🭈,LOWER RIGHT BLOCK DIAGONAL LOWER LEFT TO LOWER MIDDLE RIGHT
